Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
"Mayfield H.F.","Kirtland's warblers benefit from large forest tracts",1999,"NCASI Technical Bulletin",,"781 I",,"329","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032659717&partnerID=40&md5=b70f481fb0cdcc6255afd10f579d2aa9",,"Mayfield, H.F.","Recent declines in some American songbirds have focused attention on the role of forest fragmentation, especially among Neotropical migrants. The Kirtland's warbler (Dendroica kirtlandii) provides a prime example. Present evidence suggests that major increases in the population of this species have resulted from the sudden availability of very large tracts of suitable habitat on the nesting grounds. Very large forest fires that have produced vast areas of young jack pine (Pinus banksiana) repeatedly have resulted in increases in the bird's population over more than a century. This is not to imply that major fires produce all the habitat used by the warbler. In most years, there are dozens of fires and clearcuttings of various extent. These events affect nearly 200,000 ha of forest on which jack pine is the dominant tree. However, only a small fraction is suitable for the warbler at any one time, less than 10,000 ha at present. Some tracts of marginal size that look acceptable to us are not occupied, and some that appear unsuitable attract nesting warblers. While it is clear that changes in the population of Kirtland's warbler are affected by availability of large tracts of nesting habitat, we cannot ignore the problems of survival on the wintering grounds (the Bahama Islands), where the bird spends more than half of each year. We know little of the bird's life in the Bahama Islands, but since the warbler population has been remarkably stable over the last 20 years, and the climate and vegetation there have changed little in centuries, the authors see no cause for alarm there at present.",,Article,,Scopus,2-s2.0-0032659717
"Godwin K.D.","Habitat use, home range size, and survival rates of wild turkey gobblers on Tallahala Wildlife Management Area",1999,"NCASI Technical Bulletin",,"781 I",,"190","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032691616&partnerID=40&md5=7f3996761d740d99c81dee51680edf6b",,"Godwin, K.D.","Wild turkey (Meleagris gallopavo) gobbler behavior was studied using radio-telemetry on the Tallahala Wildlife Management Area (TWMA) in east-central Mississippi. Data from 130 radio-equipped gobblers from 1986-1987 and 1987-1990 were used in analysis. Gobbler home ranges were larger than those reported in most past studies. Home ranges and daily movements were generally largest, and percent range overlap was lowest, during the spring. An average of 34% of all gobblers captured on TWMA was off the area during the spring hunting season. Mature pine (Pinus spp.) stands were consistently important to radio-equipped gobblers on TWMA, and number of years since prescribed burning affected how gobblers used these habitats. Gobbler habitat use differed from that reported for hens on TWMA except during the breeding season. During this study, 93% of all gobbler mortality occurred within the spring hunting season. Survival during spring hunting seasons was always significantly lower than all other periods within years. Experimental testing to determine whether spring hunting acts as an additive or compensatory mortality factor on gobbler populations was recommended. Management implications based on the results of this study and recommendations for future research are discussed.",,Article,,Scopus,2-s2.0-0032691616
"Virani M., Watson R.T.","Raptors in the East African tropics and western Indian Ocean islands: state of ecological knowledge and conservation status",1998,"Journal of Raptor Research","32","1",,"28","39",,14,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031685494&partnerID=40&md5=69b33a5c24a3743c3cec41b3e13612b0","Peregrine Fund, Inc., 566 West Flying Hawk Lane, Boise, ID 83709, United States; National Museums of Kenya, Nairobi, Kenya; Leicester University, United Kingdom","Virani, M., Peregrine Fund, Inc., 566 West Flying Hawk Lane, Boise, ID 83709, United States, National Museums of Kenya, Nairobi, Kenya, Leicester University, United Kingdom; Watson, R.T., Peregrine Fund, Inc., 566 West Flying Hawk Lane, Boise, ID 83709, United States","From our review of articles published on diurnal and nocturnal birds of prey occurring in Africa and the western Indian Ocean islands, we found most of the information on their breeding biology comes from subtropical southern Africa. The number of published papers from the east African tropics declined after 1980 while those from subtropical southern Africa increased. Based on our Knowledge Rating Scale (KRS), only 6.3% of breeding raptors in the east African tropics and 13.6% of the raptors of the Indian Ocean islands can be considered Well Known, while the majority, 60.8% in mainland east Africa and 72.7% in the Indian Ocean islands, are rated Unknown. Human-caused habitat alteration resulting from overgrazing by livestock and impacts of cultivation are the main threats facing raptors in the east African tropics, while clearing of forests through slash-and-burn methods is most important in the Indian Ocean islands. We describe conservation recommendations, list priority species for study, and list areas of ecological understanding that need to be improved.",,Article,,Scopus,2-s2.0-0031685494
"Breininger D.R., Larson V.L., Duncan B.W., Smith R.B.","Linking habitat suitability to demographic success in Florida scrub-jays",1998,"Wildlife Society Bulletin","26","1",,"118","128",,25,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031827681&partnerID=40&md5=4bfc34aa3b3a0e042579031582e3eea2","DYN-2, Dynamac Corporation, NASA Biomedical Operations, John F. Kennedy Space Center, FL 32899, United States; Dynamac Corporation, Kennedy Space Center (KSC); Florida Institute of Technology; KSC; University of California, Santa Barbara, CA, United States; University of Central Florida","Breininger, D.R., DYN-2, Dynamac Corporation, NASA Biomedical Operations, John F. Kennedy Space Center, FL 32899, United States, Dynamac Corporation, Kennedy Space Center (KSC), Florida Institute of Technology; Larson, V.L., DYN-2, Dynamac Corporation, NASA Biomedical Operations, John F. Kennedy Space Center, FL 32899, United States, Florida Institute of Technology, KSC; Duncan, B.W., DYN-2, Dynamac Corporation, NASA Biomedical Operations, John F. Kennedy Space Center, FL 32899, United States, KSC, University of California, Santa Barbara, CA, United States; Smith, R.B., DYN-2, Dynamac Corporation, NASA Biomedical Operations, John F. Kennedy Space Center, FL 32899, United States, University of Central Florida","We quantified relationships among Florida scrub-jay (Aphelocoma coerulescens) demography, density, and habitat suitability (HSI). A HSI map was derived using a HSI model, vegetation, and fire patterns that were mapped from aerial imagery. Family size, reproductive success, and survival data were collected at nests and territories between 1988 and 1993 using colorbanded jays. The ability to predict demographic performance (potential-breeder production minus breeder mortality) using the HSI model was tested at patch (0.1 and 1.0 ha) and territory (5.5 ha) scales. Florida scrub-jays preferred to nest in patches having the highest HSI and had the highest fledgling production in patches with the highest HSI. Yearling production, breeder survival, jay density, and demographic performance were all correlated with HSI. Minor improvements in the ability to predict demographic performance occurred as sampling scale increased from the smallest patch (0.1 ha) to the territory scale (5.5 ha). Population sources (potential-breeder production exceeded breeder mortality) comprised 28% of the habitat within the study site and had inadequate demographic performance to sustain population sinks (breeder mortality exceeded potential-breeder production), which comprised 62% of the habitat. Jay densities were not indicators of demographic performance.","Demography; Habitat suitability; Landscape patterns; Remote sensing; Sink; Source",Article,,Scopus,2-s2.0-0031827681
"Brooker M.G.","Fire and birds in a Western Australian heathland",1998,"Emu","98","4",,"276","287",,10,10.1071/MU98039,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031773025&doi=10.1071%2fMU98039&partnerID=40&md5=f0ca8c3331ce227e36cbebec62eb2e8c","CSIRO Wildlife and Ecology, Private Bag PO, Wembley, WA 6014, United States","Brooker, M.G., CSIRO Wildlife and Ecology, Private Bag PO, Wembley, WA 6014, United States","The complexity of avifaunal response to fire is illustrated using long-term demographic data for passerines at Gooseberry Hill, Western Australia, that has experienced an average of one fire every two years in the 41 years since 1957. During a 26 year period from 1972 to 1997, when three major and eight minor fires occurred, the density of Splendid Fairy-wrens Malurus splendens ranged from a high of 105 adults/100 ha in 1985 to 20 adults/100 ha in 1994. Both of these extremes followed periods of similar fire frequency (five fires in preceding 10 years). However, in the ten years before 1985, all fires were of limited extent, whereas the ten year period up to 1994 began with an extensive 100% hot summer burn, closely followed by two smaller reburns. The aftermath of the major fire in 1985 and subsequent minor fires had a major detrimental impact on populations of Splendid Fairy-wrens, Western Thornbills Acanthiza inornata, Scarlet Robins Petroica multicolor and Yellow-romped Thornbills A. chrysorrhoa, all of which declined during the following eight years, even though the vegetation had nearly recovered to 1985 conditions. This continued decline in bird densities was related to increased mortality of breeding birds and lowered productivity, due to temporary cessation of breeding by Western Thornbills and to increased nest predation and parasitism in Splendid Fairy-wrens. In addition, the broad extent of the 1985 fire reduced opportunities for immigration from elsewhere. Understanding this avifaunal response to fire would not have been possible without an extended period of study. Any fire management plans based on just two or three years data might have yielded recommendations quite detrimental to the fauna they were designed to protect. For the species and habitats studied here, small, patchy bums on a well-spaced rotational basis are to be preferred over regular 'fuel reduction' burning of entire habitats, particularly in isolated areas where immigration is unlikely to occur. Once an entire area has been burnt, special care should be taken to prevent a reburn within at least the next 8-10 years.",,Article,,Scopus,2-s2.0-0031773025
"Lamont B.B., Groom P.K.","Seed and Seedling Biology of the Woody-fruited Proteaceae",1998,"Australian Journal of Botany","46","4",,"387","406",,38,10.1071/BT96135,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031766847&doi=10.1071%2fBT96135&partnerID=40&md5=ca406e30b305128667c6a167b4cce67c","School of Environmental Biology, Curtin University of Technology, GPO Box U1987, Perth, WA, 6001, Australia; Centre for Ecosystem Management, School of Natural Sciences, Edith Cowan University, Joondalup, WA, 6027, Australia","Lamont, B.B., School of Environmental Biology, Curtin University of Technology, GPO Box U1987, Perth, WA, 6001, Australia; Groom, P.K., Centre for Ecosystem Management, School of Natural Sciences, Edith Cowan University, Joondalup, WA, 6027, Australia","Within the Proteaceae, 353 species confined to 7 genera in the Grevilleoideae have woody fruits. The majority (> 70%) occur in fire-prone vegetation on nutrient-poor, summer-dry soils of south-western Australia. These species are characterised by large, winged seeds contained within serotinous follicles. Seed release is mediated by desiccation of the follicle walls resulting from fruit death, although wet–dry cycles are required in some genera. After release, germination must take place by the next wet season, as the seeds are not long-lived. Seeds are particularly high in protein (40–60%), P (1–2%) and Fe (10–60‰) compared with other Proteaceae. Seeds are favoured food for pre- and post-dispersal granivores (insects, birds, rodents) and young seedlings are favoured by herbivores (insects, marsupials), with the more serotinous fruits providing extra protection for their seeds. Successful establishment is facilitated by the protective and water retentive role of the testa during germination, and the remobilisation of N and P from the cotyledons to the seedling within 10 weeks of emergence. Drought stress reduces seedling establishment in otherwise favourable postfire microsites and prevents it (assisted by herbivores) in mature vegetation. Typically, < 10% of seeds released after fire become seedlings, and < 50% of these survive the first summer. Among fire-killed species, species that produce few seeds are more likely to have drought-resistant seedlings, often associated with larger seeds and/or needle-shaped leaves. Species that resprout after fire produce a few large viable seeds per plant, whereas fire-killed species produce many smaller seeds. Of all the Proteaceae, the ecology of woody-fruited species is best known, providing great scope for comparative biology studies. © 1998, CSIRO. All rights reserved.",,Article,,Scopus,2-s2.0-0031766847
"Catterall C.P., Kingston M.B., Park K.","Use of remnant forest habitat by birds during winter in subtropical Australia: Patterns and processes",1997,"Pacific Conservation Biology","3","3",,"262","274",,27,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031400382&partnerID=40&md5=94d9285681f0a695af2aca1c8b5844d1","Faculty of Environmental Sciences, Griffith University, Nathan, QLD 4111, Australia","Catterall, C.P., Faculty of Environmental Sciences, Griffith University, Nathan, QLD 4111, Australia; Kingston, M.B., Faculty of Environmental Sciences, Griffith University, Nathan, QLD 4111, Australia; Park, K., Faculty of Environmental Sciences, Griffith University, Nathan, QLD 4111, Australia","The south-east Queensland region of subtropical Australia supports a high diversity of landbird species, many of which are migrants which visit lowland areas during winter. However, lowland habitats have been impacted by clearing and fragmentation of native forest types within the past 170 years. This paper considers the implications of loss and fragmentation of lowland eucalypt forests for birds in winter, by comparing the proportionate density of twelve selected species across 49 different cases representing a variety of structural habitat differences. There was little fragmentation effect on forest-dependant winter immigrant species down to about 10 ha. The smallest remnants had reduced proportionate abundances of forest-dependent species together with elevated abundances of two other species: Noisy Miner and Australian Magpie. Similar shifts in species composition occurred in association with a variety of types of change in native eucalypt forest, all involving alteration to physical structure incorporating reduction of foliage cover (at forest edges, in areas without understorey, in regenerating forest, on slopes and ridges, and after fires). We consider the ecological processes that might underlie these patterns, and suggest that: (1) habitat selection, possibly mediated and/or reinforced by interference competition from Noisy Miners, is a key process in the study system in winter; (2) habitat loss, rather than fragmentation, is likely to be the main cause of regional declines in forest-dependent winter migrants; and (3) the management of habitat for winter migrant birds within lowland eucalypt forests of this region should focus on maintaining and improving: (a) the overall percentage of lowland area covered by native forest, and (b) factors associated with the structural integrity (canopy and understorey cover, fire frequency, retention of complete microtopographic gradients) of remnant forest areas irrespective of their size, at least down to about 10 ha.",,Article,,Scopus,2-s2.0-0031400382
"Bayne E.M., Hobson K.A.","Comparing the effects of landscape fragmentation by forestry and agriculture on predation of artificial nests",1997,"Conservation Biology","11","6",,"1418","1429",,160,10.1046/j.1523-1739.1997.96135.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031460728&doi=10.1046%2fj.1523-1739.1997.96135.x&partnerID=40&md5=2e01e44d4eca4e31639e14fdf655a57e","Department of Biology, University of Saskatchewan, 112 Science Place, Saskatoon, Sask. S7N 5E2, Canada; Canadian Wildlife Service, 115 Perimeter Road, Saskatoon, Sask. S7N 0X4, Canada; Canadian Wildlife Service, Saskatoon, Sask. S7N 0X4, Canada","Bayne, E.M., Department of Biology, University of Saskatchewan, 112 Science Place, Saskatoon, Sask. S7N 5E2, Canada, Canadian Wildlife Service, Saskatoon, Sask. S7N 0X4, Canada; Hobson, K.A., Department of Biology, University of Saskatchewan, 112 Science Place, Saskatoon, Sask. S7N 5E2, Canada, Canadian Wildlife Service, 115 Perimeter Road, Saskatoon, Sask. S7N 0X4, Canada","Fragmentation of forested landscapes can reduce the reproductive success of birds occupying residual forest patches. Previous studies, however, have focused primarily on how nest predation can change when landscapes become fragmented by agriculture rather than by logging. To determine if predation on artificial nests in forest patches was influenced by the surrounding landscape, we placed ground and shrub nests along the edge and interior of forest patches located in agricultural, logged, and contiguous forest landscapes within a single region of the southern boreal mixedwood forest of central Canada. Nest predators were identified using remotely triggered cameras and by marks left in plasticine eggs, whereas the relative abundance of nest predators such as corvids and small mammals was estimated by surveys and live-trapping. The percentage of ground nests destroyed at the edge and interior of patches in the logged and contiguous forest landscapes was significantly lower than at the edge or interior of patches in the agricultural landscape. No differences in predation rate were observed for shrub nests among landscapes. We attributed higher rates of predation in the agricultural landscape to higher densities of red squirrels (Tamiasciurus hudsonicus) in the interior and a greater diversity of predators along edges. The similarity in predation rate between logged and contiguous forest landscapes suggests that fragmentation caused by logging may result in little change in predator communities and in this respect, might be similar to fragmentation caused by natural disturbance regimes such us fire. In contrast, fragmentation by agriculture seems to have more serious consequences for nesting birds. Policy changes that limit the growth of agriculture in the southern boreal mixedwood forest are required to conserve the diverse avifauna of this region.",,Article,,Scopus,2-s2.0-0031460728
"Catsadorakis G., Malakou M.","Conservation and management issues of Prespa National Park",1997,"Hydrobiologia","351","1-3",,"175","196",,11,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030817352&partnerID=40&md5=736c54081dd07620c890da2a63ce0255","Society for the Protection of Prespa, 530 77 Agios Germanos, Greece","Catsadorakis, G., Society for the Protection of Prespa, 530 77 Agios Germanos, Greece; Malakou, M., Society for the Protection of Prespa, 530 77 Agios Germanos, Greece","The present article describes the human activities in the area and their changes and trends, given that the contemporary nature conservation key issues are closely related to past and present socio-economic and cultural conditions, both within Prespa itself and outside of it. The liberation of Prespa, a remote and rather socially isolated borderline area, from Ottoman occupation took place in 1912-13. Recent events in its environmental history have been forest clearings and human depopulation in the Civil War (1944-49), irrigation system construction in the 1960s, its 'discovery' by ornithologists in the late 1960s, the high emigration rates of 1960-1980, its designation as a National Park in 1974, the destructive development works of 1984-86 after Greece's entry to the EEC and the conversion to intensive bean cultivation in the mid 1980s. The human population of ca 7000 at the start of this century suffered an almost 80% decrease after the Civil War. A resettlement in the mid 1950s increased the population by 40% but in the 1970s emigration reduced it to its previous size of around 1500, still its present size. The extensive and diverse farming systems of previous centuries changed gradually after the construction of an irrigation network in the 1960s, which twenty years later and along with international changes in production and economy patterns, made possible the present day domination of a bean monoculture within irrigated croplands. This was accompanied by increased energy inputs, mechanisation and the use of chemicals. Intensification of agriculture brought increased incomes which attracted also livestock keepers, resulting in a 56% decrease in numbers of livestock in 1964-1993. Cattle are presently kept for meat production only. They graze on the mountains, and no longer in the meadows around the lakeshore. A local shorthorn breed accounting for 93% of all cattle in 1963 declined to less than 18% in 1993. Fishing aimed mainly at carp and Prespa bleak, continues today as in the past to be a source of supplementary income. Eighty-six per cent of the mainly oak and beech - forests are State owned and the rest belong to local municipalities. The forest area has not changed essentially in the last 40 years, but forest roads have expanded. Forests provide mainly fuelwood for local needs and small quantities of industrial timber. No specific management is conducted to safeguard the conservation values of the forest, the majority of which consists of even aged coppiced stands with limited value for wildlife. Manufacturing never played an important role for the economy of the area. Tourism has increased in the last 20 years, concentrated mainly in summer and spring. Accommodation in the villages is not yet satisfactory though it has improved enormously in recent years. The National Park's infrastructure for visitors remains poor. Tourist pressure generally is not yet that high to impact drastically the social and environmental fabric. In places, hunting, angling and poaching can negatively affect the target species. The construction of the irrigation network in the eastern part of Lake Mikri Prespa was the most important change to the landscape and the habitats of Prespa the last 30 years. It resulted in the embankment of free-flowing streams, drainage of wet meadows and dramatic reduction of trees and hedges. In the last 15 years, the reedbeds, no longer burnt or mowed and assisted by increased nutrient loadings from agricultural runoff, have expanded landward to occupy formerly open, periodically flooded, areas. The above changes in habitats and land use have brought an impoverishment of biodiversity which can be seen in the extermination or the decrease in the numbers of certain plant and bird species. The problems preventing a better management of the National Park and the perpetuation of its values are inappropriate legislation, the poor degree of coordination of the public services, the lack of both a specific National Park Service in Greece and a management authority for the Park and the hostile attitude of local people due to their limited information and involvement. The scenic beauty, the wetlands and a number of rare habitats, the diversity of habitats, flora and fauna, the endemic life forms, the rare mammals and the colonial waterbirds, the local architecture and the cultural expressions such as the Byzantine monuments, are the values of Prespa that must be preserved as a whole. The initial conservation efforts aimed at preserving biodiversity but later it became apparent that not only are humans an inseparable part of the whole, but additionally, several of their extensive activities have contributed substantially to the rich biodiversity of the area. Through the prerequisites of keeping a balance between primary and tertiary sector activities and of revitalizing the social fabric, the following are the key management and conservation issues of today: an unequivocal agreement on the values to be preserved and their limits; the formation of a management authority; a new realistic protection and land use zoning; the diversification and extensification of all farming activities; the restoration of the wet meadow habitats; the ensuring of a high water level and a good water quality for both lakes through tri-lateral cooperation between Greece, Albania and FYROM; and the establishment of a permanent environmental monitoring scheme. © 1997 Kluwer Academic Publishers.","Biodiversity conservation; Cultural landscapes; Ecological integrity; Ecosystem management; Greece; Human ecology; Integrated management approach; National park management; Prespa; Protected area management; Wetland conservation; Wetland management",Article,,Scopus,2-s2.0-0030817352
"Lemly A.D.","Ecosystem recovery following selenium contamination in a freshwater reservoir",1997,"Ecotoxicology and Environmental Safety","36","3",,"275","281",,76,10.1006/eesa.1996.1515,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031107067&doi=10.1006%2feesa.1996.1515&partnerID=40&md5=f1d12353cd70b8098125084771c10e72","United States Forest Service, Dept. of Fish. and Wildlife Sciences, Virginia Tech University, Blacksburg, VA 24061-0321, United States","Lemly, A.D., United States Forest Service, Dept. of Fish. and Wildlife Sciences, Virginia Tech University, Blacksburg, VA 24061-0321, United States","Belews Lake, North Carolina, was contaminated by selenium in wastewater released from a coal-fired electric generating facility during 1974-1985. Selenium bioaccumulated in aquatic food chains and caused severe reproductive failure and teratogenic deformities in fish. Beginning in 1986, the electric utility company changed its ash disposal practices and selenium-laden wastewater no longer entered the lake. A survey of selenium present in the water, sediments, benthic invertebrates, fish, and aquatic birds was conducted in 1996. Concentrations were compared to pre-1986 levels to determine how much change occurred during the decade since selenium inputs stopped. The data were also examined using a hazard assessment protocol to determine if ecosystem-level hazards to fish and aquatic birds had changed as well. Results reveal that waterborne selenium fell from a peak of 20 μg/liter before 1986, to <1 μg/liter in 1996; concentrations in biota were 85-95% lower in 1996. Hazard ratings indicate that high hazard existed prior to 1986 and that moderate hazard is still present, primarily due to selenium in the sediment-detrital food pathway. Concentrations of selenium in sediments have fallen by about 65-75 %, but remain sufficiently elevated (1- 4 μg/g) to contaminate benthic food organisms of fish and aquatic birds. Field evidence confirmed the validity of the hazard ratings. Developmental abnormalities in young fish indicate that selenium-induced teratogenesis and reproductive impairment are occurring. Moreover, the concentrations of selenium in benthic food organisms are sufficient to cause mortality in young bluegill and other centrarchids because of Winter Stress Syndrome. At the ecosystem level, recovery has been slow. Toxic effects are still evident 10 years after selenium inputs were stopped. The sediment-associated selenium will likely continue to be a significant hazard to fish and aquatic birds for years.",,Article,,Scopus,2-s2.0-0031107067
"Brace R.C., Hornbuckle J., Pearce-Higgins J.W.","The avifauna of the Beni Biological Station, Bolivia",1997,"Bird Conservation International","7","2",,"117","159",,8,10.1017/S0959270900001465,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031461618&doi=10.1017%2fS0959270900001465&partnerID=40&md5=a7038ecc7bdcd477a894f334a890a835","Department of Life Science, University of Nottingham, University Park, Nottingham NG7 2RD, United Kingdom; 30 Hartington Road, Sheffield S7 2LF, United Kingdom; 3.239 Stopford Building, School of Biological Sciences, University of Manchester, Oxford Road, Manchester M13 9PT, United Kingdom","Brace, R.C., Department of Life Science, University of Nottingham, University Park, Nottingham NG7 2RD, United Kingdom; Hornbuckle, J., 30 Hartington Road, Sheffield S7 2LF, United Kingdom; Pearce-Higgins, J.W., 3.239 Stopford Building, School of Biological Sciences, University of Manchester, Oxford Road, Manchester M13 9PT, United Kingdom","An annotated compendium of all those bird species known to have occurred in the lowland ""Man and Biosphere"" Beni Biological Station (B.B.S.) reserve is provided. Previous checklists are reviewed, together with sightings accumulated over the 1992-1995 period during which approximately 70 new species have been added to the reserve inventory, bringing the total to 478. Occurrence across the 12 delineated habitats, relative abundance and sighting documentation are given for each species. The avifauna of the B.B.S. is mixed biogeographically; in addition to a substantial component of lowland birds widespread throughout South America, it is composed of Amazonian, cerrado and chaco elements also. Representation from the Bolivian Yungas is minimal. Significantly, no less than four threatened and 15 near-threatened species have occurred, including the little known Bolivian endemic Unicoloured Thrush Turdus haplochrous, and the enigmatic White-winged Nightjar Caprimulgus candicans, known until recently only from Emas National Park (Brazil). Short accounts are provided detailing records of all of these species. Birds of the reserve core, consisting largely of humid tropical forest formations inundated during the austral summer, appear not to be subjected currently to any serious environmental degradation, although some subsistence clearance by Chimane Indians in the northern reaches of the reserve gives some cause for concern. Of much greater import, however, are changes occurring outside the confines of the B.B.S. These include increasing urbanization immediately to the west (and associated road upgrading) and forest fragmentation to the south brought about by logging. The latter is especially worrying because linkage of the B.B.S. forest block to surrounding forest is already physically tenuous, and therefore it is imperative that future logging activities be geared to minimize isolation occurring and the damaging restriction of gene flow. Monitoring in rainforest immediately south of the reserve should become routine to warn of putative avifaunal impoverishments. Extensive surveying of the 2,500-ha El Porvenir éstancia (savanna and related forest islands) due to be assimilated shortly into the B.B.S., which constitutes less than 2% of the area under consideration, has shown that it is used by no less than three threatened and up to nine near-threatened species. In the absence of data relating to other savanna areas (c. 15%) at present, the exact status of each species at the B.B.S. remains imprecise and begs for further research to be undertaken. Unfortunately, present management of the El Porvenir savanna is not conducive to the long-term maximization of populations of these species, several of which have local strongholds in this part of Beni. We recommend that the current policy of cattle ranching adopted by this éstancia should cease or be reduced dramatically, to minimize grazing and trampling damage, and that measures should be taken to reduce incursions of fires started wilfully in neighbouring properties. The Academia Nacional de Ciencias de Bolivia, which administers the reserve, should be encouraged to safeguard and enhance the savanna complement further by ensuring that the impending ratification of El Porvenir proceeds as quickly as possible, and by purchasing additional tracts of land to the south of the present southern reserve boundary, where feasible. Such actions should not only secure the future of the biota of the savanna habitat within the B.B.S. but also should ameliorate the degree of isolation which has occurred already by preserving the ""curiches"" (former river beds) and forest islands which act as access corridors for forest-dwelling and other birds.",,Article,,Scopus,2-s2.0-0031461618
"Berbari E.F., Cockerill F.R., Steckelberg J.M.","Infective endocarditis due to unusual or fastidious microorganisms",1997,"Mayo Clinic Proceedings","72","6",,"532","542",,187,10.4065/72.6.532,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031154923&doi=10.4065%2f72.6.532&partnerID=40&md5=b22dccac6830f41e809b5e67018b4a8b","Division of Infectious Diseases and Internal Medicine, Rochester, MN, United States; Division of Clinical Microbiology, Rochester, MN, United States; Mayo Clinic Rochester, Rochester, MN, United States; Division of Infectious Diseases, Mayo Clinic Rochester, 200 First Street SW, Rochester, MN 55905., United States","Berbari, E.F., Division of Infectious Diseases and Internal Medicine, Rochester, MN, United States, Division of Clinical Microbiology, Rochester, MN, United States, Mayo Clinic Rochester, Rochester, MN, United States, Division of Infectious Diseases, Mayo Clinic Rochester, 200 First Street SW, Rochester, MN 55905., United States; Cockerill, F.R., Division of Infectious Diseases and Internal Medicine, Rochester, MN, United States, Mayo Clinic Rochester, Rochester, MN, United States; Steckelberg, J.M., Division of Infectious Diseases and Internal Medicine, Rochester, MN, United States, Mayo Clinic Rochester, Rochester, MN, United States, Division of Infectious Diseases, Mayo Clinic Rochester, 200 First Street SW, Rochester, MN 55905., United States","Infective endocarditis due to fastidious microorganisms is commonly encountered in clinical practice. Some organisms such as fungi account for up to 15% of cases of prosthetic valve infective endocarditis, whereas organisms of the HACEK group (Haemophilus parainfluenzae, H. aphrophilus, and H. paraphrophilus, Actinobacillus actinomycetemcomitans, Cardiobacterium hominis, Eikenetta corrodens, and Kingella kingae) cause 3% of community-acquired cases of infective endocarditis. Special techniques are necessary to identify these microorganisms. A history of contact with mammals or birds may suggest infection caused by Coxiella burnetii (Q fever), Brucella species, or Chlamydia psittaci. A nosocomial cluster of postsurgical infective endocarditis may be caused by Legionella species or Mycobacterium species. If risk factors that are commonly associated with fungal infections (cardiac surgical treatment, prolonged hospitalization, indwelling central venous catheters, and long-term antibiotic use) are present, fungal endo-carditis is possible. Patients with endocarditis and a history of periodontal disease or dental work in whom routine blood cultures are negative might have infection due to nutritionally variant streptococci or bacteria of the HACEK group. Communication between the microbiologist and the clinician is of crucial importance for identification of these microorganisms early during the course of the infection before complications such as embolization or valvular failure occur. In this article, we review the microbiologie and clinical features of these organisms and provide recommendations for diagnosis and treatment. © 1996 Mayo Foundation for Medical Education and Research.",,Article,,Scopus,2-s2.0-0031154923
